,2002,2004,2006,2007,2009,2013,2014,2017,2018,2019,2021,2023
535,URDANETA,URDANETA,URDANETA,URDANETA,URDANETA,URDANETA,URDANETA,URDANETA,URDANETA,URDANETA,URDANETA,URDANETA
540,QUEVEDO,QUEVEDO,QUEVEDO,QUEVEDO,QUEVEDO,QUEVEDO,QUEVEDO,QUEVEDO,QUEVEDO,QUEVEDO,QUEVEDO,QUEVEDO
545,VENTANAS,VENTANAS,VENTANAS,VENTANAS,VENTANAS,VENTANAS,VENTANAS,VENTANAS,VENTANAS,VENTANAS,VENTANAS,VENTANAS
546,,,,,QUINSALOMA,QUINSALOMA,QUINSALOMA,QUINSALOMA,QUINSALOMA,QUINSALOMA,QUINSALOMA,QUINSALOMA
550,TOSAGUA,TOSAGUA,TOSAGUA,TOSAGUA,TOSAGUA,TOSAGUA,TOSAGUA,TOSAGUA,TOSAGUA,TOSAGUA,TOSAGUA,TOSAGUA
555,PUCARA,PUCARA,PUCARA,PUCARA,PUCARA,PUCARA,PUCARA,PUCARA,PUCARA,PUCARA,PUCARA,PUCARA
556,CAMILO PONCE ENRIQUEZ,CAMILO PONCE ENRIQUEZ,CAMILO PONCE ENRIQUEZ,CAMILO PONCE ENRIQUEZ,CAMILO PONCE ENRIQUEZ,CAMILO PONCE ENRIQUEZ,CAMILO PONCE ENRIQUEZ,CAMILO PONCE ENRIQUEZ,CAMILO PONCE ENRIQUEZ,CAMILO PONCE ENRIQUEZ,CAMILO PONCE ENRIQUEZ,CAMILO PONCE ENRIQUEZ
560,ESMERALDAS,ESMERALDAS,ESMERALDAS,ESMERALDAS,ESMERALDAS,ESMERALDAS,ESMERALDAS,ESMERALDAS,ESMERALDAS,ESMERALDAS,ESMERALDAS,ESMERALDAS
561,RIO VERDE,RIO VERDE,RIO VERDE,RIO VERDE,RIO VERDE,RIO VERDE,RIO VERDE,RIO VERDE,RIO VERDE,RIO VERDE,RIO VERDE,RIO VERDE
565,ELOY ALFARO,ELOY ALFARO,ELOY ALFARO,ELOY ALFARO,ELOY ALFARO,ELOY ALFARO,ELOY ALFARO,ELOY ALFARO,ELOY ALFARO,ELOY ALFARO,ELOY ALFARO,ELOY ALFARO
570,MUISNE,MUISNE,MUISNE,MUISNE,MUISNE,MUISNE,MUISNE,MUISNE,MUISNE,MUISNE,MUISNE,MUISNE
575,QUININDE,QUININDE,QUININDE,QUININDE,QUININDE,QUININDE,QUININDE,QUININDE,QUININDE,QUININDE,QUININDE,QUININDE
580,SAN LORENZO,SAN LORENZO,SAN LORENZO,SAN LORENZO,SAN LORENZO,SAN LORENZO,SAN LORENZO,SAN LORENZO,SAN LORENZO,SAN LORENZO,SAN LORENZO,SAN LORENZO
585,CHILLA,CHILLA,CHILLA,CHILLA,CHILLA,CHILLA,CHILLA,CHILLA,CHILLA,CHILLA,CHILLA,CHILLA
590,MORONA,MORONA,MORONA,MORONA,MORONA,MORONA,MORONA,MORONA,MORONA,MORONA,MORONA,MORONA
595,GUALAQUIZA,GUALAQUIZA,GUALAQUIZA,GUALAQUIZA,GUALAQUIZA,GUALAQUIZA,GUALAQUIZA,GUALAQUIZA,GUALAQUIZA,GUALAQUIZA,GUALAQUIZA,GUALAQUIZA
600,LIMON INDANZA,LIMON INDANZA,LIMON INDANZA,LIMON INDANZA,LIMON INDANZA,LIMON INDANZA,LIMON INDANZA,LIMON INDANZA,LIMON INDANZA,LIMON INDANZA,LIMON INDANZA,LIMON INDANZA
605,SANTIAGO,SANTIAGO,SANTIAGO,SANTIAGO,SANTIAGO,SANTIAGO,SANTIAGO,SANTIAGO,SANTIAGO,SANTIAGO,SANTIAGO,SANTIAGO
610,SUCUA,SUCUA,SUCUA,SUCUA,SUCUA,SUCUA,SUCUA,SUCUA,SUCUA,SUCUA,SUCUA,SUCUA
611,LOGRONO,LOGRONO,LOGRONO,LOGRONO,LOGRONO,LOGRONO,LOGRONO,LOGRONO,LOGRONO,LOGRONO,LOGRONO,LOGRONO
615,PALORA,PALORA,PALORA,PALORA,PALORA,PALORA,PALORA,PALORA,PALORA,PALORA,PALORA,PALORA
620,TENA,TENA,TENA,TENA,TENA,TENA,TENA,TENA,TENA,TENA,TENA,TENA
621,C.J.AROSEMENA TOLA,C.J.AROSEMENA TOLA,C. J. AROSEMENA TOLA,C. J. AROSEMENA TOLA,C. J. AROSEMENA TOLA,C. J. AROSEMENA TOLA,C. J. AROSEMENA TOLA,C. J. AROSEMENA TOLA,C. J. AROSEMENA TOLA,C. J. AROSEMENA TOLA,C. J. AROSEMENA TOLA,C. J. AROSEMENA TOLA
625,LAGO AGRIO,LAGO AGRIO,LAGO AGRIO,LAGO AGRIO,LAGO AGRIO,LAGO AGRIO,LAGO AGRIO,LAGO AGRIO,LAGO AGRIO,LAGO AGRIO,LAGO AGRIO,LAGO AGRIO
626,CUYABENO,CUYABENO,CUYABENO,CUYABENO,CUYABENO,CUYABENO,CUYABENO,CUYABENO,CUYABENO,CUYABENO,CUYABENO,CUYABENO
630,AGUARICO,AGUARICO,AGUARICO,AGUARICO,AGUARICO,AGUARICO,AGUARICO,AGUARICO,AGUARICO,AGUARICO,AGUARICO,AGUARICO
635,QUIJOS,QUIJOS,QUIJOS,QUIJOS,QUIJOS,QUIJOS,QUIJOS,QUIJOS,QUIJOS,QUIJOS,QUIJOS,QUIJOS
640,SUCUMBIOS,SUCUMBIOS,SUCUMBIOS,SUCUMBIOS,SUCUMBIOS,SUCUMBIOS,SUCUMBIOS,SUCUMBIOS,SUCUMBIOS,SUCUMBIOS,SUCUMBIOS,SUCUMBIOS
645,FCO.DE ORELLANA,FCO.DE ORELLANA,FCO.DE ORELLANA,FCO.DE ORELLANA,FCO.DE ORELLANA,FCO.DE ORELLANA,FCO.DE ORELLANA,FCO.DE ORELLANA,FCO.DE ORELLANA,FCO.DE ORELLANA,FCO.DE ORELLANA,FCO.DE ORELLANA
650,PUTUMAYO,PUTUMAYO,PUTUMAYO,PUTUMAYO,PUTUMAYO,PUTUMAYO,PUTUMAYO,PUTUMAYO,PUTUMAYO,PUTUMAYO,PUTUMAYO,PUTUMAYO
655,ZAMORA,ZAMORA,ZAMORA,ZAMORA,ZAMORA,ZAMORA,ZAMORA,ZAMORA,ZAMORA,ZAMORA,ZAMORA,ZAMORA
660,CHINCHIPE,CHINCHIPE,CHINCHIPE,CHINCHIPE,CHINCHIPE,CHINCHIPE,CHINCHIPE,CHINCHIPE,CHINCHIPE,CHINCHIPE,CHINCHIPE,CHINCHIPE
661,PALANDA,PALANDA,PALANDA,PALANDA,PALANDA,PALANDA,PALANDA,PALANDA,PALANDA,PALANDA,PALANDA,PALANDA
665,YACUAMBI,YACUAMBI,YACUAMBI,YACUAMBI,YACUAMBI,YACUAMBI,YACUAMBI,YACUAMBI,YACUAMBI,YACUAMBI,YACUAMBI,YACUAMBI
670,YANZATZA,YANZATZA,YANZATZA,YANZATZA,YANZATZA,YANZATZA,YANZATZA,YANZATZA,YANZATZA,YANZATZA,YANZATZA,YANZATZA
675,PALESTINA,PALESTINA,PALESTINA,PALESTINA,PALESTINA,PALESTINA,PALESTINA,PALESTINA,PALESTINA,PALESTINA,PALESTINA,PALESTINA
680,PASTAZA,PASTAZA,PASTAZA,PASTAZA,PASTAZA,PASTAZA,PASTAZA,PASTAZA,PASTAZA,PASTAZA,PASTAZA,PASTAZA
685,MERA,MERA,MERA,MERA,MERA,MERA,MERA,MERA,MERA,MERA,MERA,MERA
690,PORTOVELO,PORTOVELO,PORTOVELO,PORTOVELO,PORTOVELO,PORTOVELO,PORTOVELO,PORTOVELO,PORTOVELO,PORTOVELO,PORTOVELO,PORTOVELO
695,HUAQUILLAS,HUAQUILLAS,HUAQUILLAS,HUAQUILLAS,HUAQUILLAS,HUAQUILLAS,HUAQUILLAS,HUAQUILLAS,HUAQUILLAS,HUAQUILLAS,HUAQUILLAS,HUAQUILLAS
700,ARCHIDONA,ARCHIDONA,ARCHIDONA,ARCHIDONA,ARCHIDONA,ARCHIDONA,ARCHIDONA,ARCHIDONA,ARCHIDONA,ARCHIDONA,ARCHIDONA,ARCHIDONA
705,ATAHUALPA,ATAHUALPA,ATAHUALPA,ATAHUALPA,ATAHUALPA,ATAHUALPA,ATAHUALPA,ATAHUALPA,ATAHUALPA,ATAHUALPA,ATAHUALPA,ATAHUALPA
710,MONTALVO,MONTALVO,MONTALVO,MONTALVO,MONTALVO,MONTALVO,MONTALVO,MONTALVO,MONTALVO,MONTALVO,MONTALVO,MONTALVO
715,PEDRO CARBO,PEDRO CARBO,PEDRO CARBO,PEDRO CARBO,PEDRO CARBO,PEDRO CARBO,PEDRO CARBO,PEDRO CARBO,PEDRO CARBO,PEDRO CARBO,PEDRO CARBO,PEDRO CARBO
720,SHUSHUFINDI,SHUSHUFINDI,SHUSHUFINDI,SHUSHUFINDI,SHUSHUFINDI,SHUSHUFINDI,SHUSHUFINDI,SHUSHUFINDI,SHUSHUFINDI,SHUSHUFINDI,SHUSHUFINDI,SHUSHUFINDI
725,JOYA DE LOS SAGCHAS,JOYA DE LOS SAGCHAS,JOYA DE LOS SACHAS,JOYA DE LOS SACHAS,JOYA DE LOS SACHAS,JOYA DE LOS SACHAS,JOYA DE LOS SACHAS,JOYA DE LOS SACHAS,JOYA DE LOS SACHAS,JOYA DE LOS SACHAS,JOYA DE LOS SACHAS,JOYA DE LOS SACHAS
730,PINDAL,PINDAL,PINDAL,PINDAL,PINDAL,PINDAL,PINDAL,PINDAL,PINDAL,PINDAL,PINDAL,PINDAL
735,PLAYAS,PLAYAS,PLAYAS,PLAYAS,PLAYAS,PLAYAS,PLAYAS,PLAYAS,PLAYAS,PLAYAS,PLAYAS,PLAYAS
740,QUILANGA,QUILANGA,QUILANGA,QUILANGA,QUILANGA,QUILANGA,QUILANGA,QUILANGA,QUILANGA,QUILANGA,QUILANGA,QUILANGA
745,CASCALES,CASCALES,CASCALES,CASCALES,CASCALES,CASCALES,CASCALES,CASCALES,CASCALES,CASCALES,CASCALES,CASCALES
750,PALENQUE,PALENQUE,PALENQUE,PALENQUE,PALENQUE,PALENQUE,PALENQUE,PALENQUE,PALENQUE,PALENQUE,PALENQUE,PALENQUE
755,LAS LAJAS,LAS LAJAS,LAS LAJAS,LAS LAJAS,LAS LAJAS,LAS LAJAS,LAS LAJAS,LAS LAJAS,LAS LAJAS,LAS LAJAS,LAS LAJAS,LAS LAJAS
760,CALUMA,CALUMA,CALUMA,CALUMA,CALUMA,CALUMA,CALUMA,CALUMA,CALUMA,CALUMA,CALUMA,CALUMA
765,EL TAMBO,EL TAMBO,EL TAMBO,EL TAMBO,EL TAMBO,EL TAMBO,EL TAMBO,EL TAMBO,EL TAMBO,EL TAMBO,EL TAMBO,EL TAMBO
770,SAN MIGUEL DE LOS BANCOS,SAN MIGUEL DE LOS BANCOS,SAN MIGUEL DE LOS BANCOS,SAN MIGUEL DE LOS BANCOS,SAN MIGUEL DE LOS BANCOS,SAN MIGUEL DE LOS BANCOS,SAN MIGUEL DE LOS BANCOS,SAN MIGUEL DE LOS BANCOS,SAN MIGUEL DE LOS BANCOS,SAN MIGUEL DE LOS BANCOS,SAN MIGUEL DE LOS BANCOS,SAN MIGUEL DE LOS BANCOS
775,EL PANGUI,EL PANGUI,EL PANGUI,EL PANGUI,EL PANGUI,EL PANGUI,EL PANGUI,EL PANGUI,EL PANGUI,EL PANGUI,EL PANGUI,EL PANGUI
780,ONA,ONA,ONA,ONA,ONA,ONA,ONA,ONA,ONA,ONA,ONA,ONA
785,ATACAMES,ATACAMES,ATACAMES,ATACAMES,ATACAMES,ATACAMES,ATACAMES,ATACAMES,ATACAMES,ATACAMES,ATACAMES,ATACAMES
786,,,,,LA CONCORDIA,LA CONCORDIA,,,,,,
790,SIMON BOLIVAR,SIMON BOLIVAR,SIMON BOLIVAR,SIMON BOLIVAR,SIMON BOLIVAR,SIMON BOLIVAR,SIMON BOLIVAR,SIMON BOLIVAR,SIMON BOLIVAR,SIMON BOLIVAR,SIMON BOLIVAR,SIMON BOLIVAR
795,HUAMBOYA,HUAMBOYA,HUAMBOYA,HUAMBOYA,HUAMBOYA,HUAMBOYA,HUAMBOYA,HUAMBOYA,HUAMBOYA,HUAMBOYA,HUAMBOYA,HUAMBOYA
796,PABLO SEXTO,PABLO SEXTO,PABLO SEXTO,PABLO SEXTO,PABLO SEXTO,PABLO SEXTO,PABLO SEXTO,PABLO SEXTO,PABLO SEXTO,PABLO SEXTO,PABLO SEXTO,PABLO SEXTO
797,,TIWINTZA,TIWINZA,TIWINZA,TIWINZA,TIWINTZA,TIWINTZA,TIWINTZA,TIWINTZA,TIWINTZA,TIWINTZA,TIWINTZA
800,SAN CRISTOBAL,SAN CRISTOBAL,SAN CRISTOBAL,SAN CRISTOBAL,SAN CRISTOBAL,SAN CRISTOBAL,SAN CRISTOBAL,SAN CRISTOBAL,SAN CRISTOBAL,SAN CRISTOBAL,SAN CRISTOBAL,SAN CRISTOBAL
805,SANTA CRUZ,SANTA CRUZ,SANTA CRUZ,SANTA CRUZ,SANTA CRUZ,SANTA CRUZ,SANTA CRUZ,SANTA CRUZ,SANTA CRUZ,SANTA CRUZ,SANTA CRUZ,SANTA CRUZ
810,ISABELA,ISABELA,ISABELA,ISABELA,ISABELA,ISABELA,ISABELA,ISABELA,ISABELA,ISABELA,ISABELA,ISABELA
815,CHAGUARPAMBA,CHAGUARPAMBA,CHAGUARPAMBA,CHAGUARPAMBA,CHAGUARPAMBA,CHAGUARPAMBA,CHAGUARPAMBA,CHAGUARPAMBA,CHAGUARPAMBA,CHAGUARPAMBA,CHAGUARPAMBA,CHAGUARPAMBA
820,DURAN,DURAN,DURAN,DURAN,DURAN,DURAN,DURAN,DURAN,DURAN,DURAN,DURAN,DURAN
825,LA MANA,LA MANA,LA MANA,LA MANA,LA MANA,LA MANA,LA MANA,LA MANA,LA MANA,LA MANA,LA MANA,LA MANA
830,PALLATANGA,PALLATANGA,PALLATANGA,PALLATANGA,PALLATANGA,PALLATANGA,PALLATANGA,PALLATANGA,PALLATANGA,PALLATANGA,PALLATANGA,PALLATANGA
835,A.BAQUERIZO MORENO,A.BAQUERIZO MORENO,A.BAQUERIZO MORENO,A.BAQUERIZO MORENO,A.BAQUERIZO MORENO,A.BAQUERIZO MORENO,A.BAQUERIZO MORENO,A.BAQUERIZO MORENO,A.BAQUERIZO MORENO,A.BAQUERIZO MORENO,A.BAQUERIZO MORENO,A.BAQUERIZO MORENO
840,PICHINCHA,PICHINCHA,PICHINCHA,PICHINCHA,PICHINCHA,PICHINCHA,PICHINCHA,PICHINCHA,PICHINCHA,PICHINCHA,PICHINCHA,PICHINCHA
845,CEVALLOS,CEVALLOS,CEVALLOS,CEVALLOS,CEVALLOS,CEVALLOS,CEVALLOS,CEVALLOS,CEVALLOS,CEVALLOS,CEVALLOS,CEVALLOS
850,MOCHA,MOCHA,MOCHA,MOCHA,MOCHA,MOCHA,MOCHA,MOCHA,MOCHA,MOCHA,MOCHA,MOCHA
855,SAN FERNANDO,SAN FERNANDO,SAN FERNANDO,SAN FERNANDO,SAN FERNANDO,SAN FERNANDO,SAN FERNANDO,SAN FERNANDO,SAN FERNANDO,SAN FERNANDO,SAN FERNANDO,SAN FERNANDO
860,MARCABELI,MARCABELI,MARCABELI,MARCABELI,MARCABELI,MARCABELI,MARCABELI,MARCABELI,MARCABELI,MARCABELI,MARCABELI,MARCABELI
865,GONZALO PIZARRO,GONZALO PIZARRO,GONZALO PIZARRO,GONZALO PIZARRO,GONZALO PIZARRO,GONZALO PIZARRO,GONZALO PIZARRO,GONZALO PIZARRO,GONZALO PIZARRO,GONZALO PIZARRO,GONZALO PIZARRO,GONZALO PIZARRO
870,SANTA LUCIA,SANTA LUCIA,SANTA LUCIA,SANTA LUCIA,SANTA LUCIA,SANTA LUCIA,SANTA LUCIA,SANTA LUCIA,SANTA LUCIA,SANTA LUCIA,SANTA LUCIA,SANTA LUCIA
875,BALSAS,BALSAS,BALSAS,BALSAS,BALSAS,BALSAS,BALSAS,BALSAS,BALSAS,BALSAS,BALSAS,BALSAS
880,SANTA CLARA,SANTA CLARA,SANTA CLARA,SANTA CLARA,SANTA CLARA,SANTA CLARA,SANTA CLARA,SANTA CLARA,SANTA CLARA,SANTA CLARA,SANTA CLARA,SANTA CLARA
881,ARAJUNO,ARAJUNO,ARAJUNO,ARAJUNO,ARAJUNO,ARAJUNO,ARAJUNO,ARAJUNO,ARAJUNO,ARAJUNO,ARAJUNO,ARAJUNO
885,NABON,NABON,NABON,NABON,NABON,NABON,NABON,NABON,NABON,NABON,NABON,NABON
890,CRNL MARCELINO MARIDUENAS,CRNL MARCELINO MARIDUENAS,CRNL MARCELINO MARIDUENAS,CRNL MARCELINO MARIDUENAS,CRNL MARCELINO MARIDUENAS,CRNL MARCELINO MARIDUENAS,CRNL MARCELINO MARIDUENAS,CRNL. MARCELINO MARIDUENAS,CRNL MARCELINO MARIDUENAS,CRNL MARCELINO MARIDUENAS,CRNL MARCELINO MARIDUENAS,CRNL MARCELINO MARIDUENAS
895,PEDRO VICENTE MALDONADO,PEDRO VICENTE MALDONADO,PEDRO VICENTE MALDONADO,PEDRO VICENTE MALDONADO,PEDRO VICENTE MALDONADO,PEDRO VICENTE MALDONADO,PEDRO VICENTE MALDONADO,PEDRO VICENTE MALDONADO,PEDRO VICENTE MALDONADO,PEDRO VICENTE MALDONADO,PEDRO VICENTE MALDONADO,PEDRO VICENTE MALDONADO
896,PUERTO QUITO,PUERTO QUITO,PUERTO QUITO,PUERTO QUITO,PUERTO QUITO,PUERTO QUITO,PUERTO QUITO,PUERTO QUITO,PUERTO QUITO,PUERTO QUITO,PUERTO QUITO,PUERTO QUITO
900,CUMANDA,CUMANDA,CUMANDA,CUMANDA,CUMANDA,CUMANDA,CUMANDA,CUMANDA,CUMANDA,CUMANDA,CUMANDA,CUMANDA
905,DELEG,DELEG,DELEG,DELEG,DELEG,DELEG,DELEG,DELEG,DELEG,DELEG,DELEG,DELEG
910,PEDERNALES,PEDERNALES,PEDERNALES,PEDERNALES,PEDERNALES,PEDERNALES,PEDERNALES,PEDERNALES,PEDERNALES,PEDERNALES,PEDERNALES,PEDERNALES
915,CHORDELEG,CHORDELEG,CHORDELEG,CHORDELEG,CHORDELEG,CHORDELEG,CHORDELEG,CHORDELEG,CHORDELEG,CHORDELEG,CHORDELEG,CHORDELEG
920,LOMAS DE SARGENTILLO,LOMAS DE SARGENTILLO,LOMAS DE SARGENTILLO,LOMAS DE SARGENTILLO,LOMAS DE SARGENTILLO,LOMAS DE SARGENTILLO,LOMAS DE SARGENTILLO,LOMAS DE SARGENTILLO,LOMAS DE SARGENTILLO,LOMAS DE SARGENTILLO,LOMAS DE SARGENTILLO,LOMAS DE SARGENTILLO
925,SAN JUAN BOSCO,SAN JUAN BOSCO,SAN JUAN BOSCO,SAN JUAN BOSCO,SAN JUAN BOSCO,SAN JUAN BOSCO,SAN JUAN BOSCO,SAN JUAN BOSCO,SAN JUAN BOSCO,SAN JUAN BOSCO,SAN JUAN BOSCO,SAN JUAN BOSCO
926,TAISHA,TAISHA,TAISHA,TAISHA,TAISHA,TAISHA,TAISHA,TAISHA,TAISHA,TAISHA,TAISHA,TAISHA
930,SIGCHOS,SIGCHOS,SIGCHOS,SIGCHOS,SIGCHOS,SIGCHOS,SIGCHOS,SIGCHOS,SIGCHOS,SIGCHOS,SIGCHOS,SIGCHOS
935,LORETO,LORETO,LORETO,LORETO,LORETO,LORETO,LORETO,LORETO,LORETO,LORETO,LORETO,LORETO
940,NOBOL-PIEDRAHITA,NOBOL?PIEDRAHITA,NOBOL / PIEDRAHITA,NOBOL / PIEDRAHITA,NOBOL / PIEDRAHITA,NOBOL / PIEDRAHITA,NOBOL / PIEDRAHITA,NOBOL / PIEDRAHITA,NOBOL / PIEDRAHITA,NOBOL / PIEDRAHITA,NOBOL / PIEDRAHITA,NOBOL / PIEDRAHITA
945,BUENA FE,BUENA FE,BUENA FE,BUENA FE,BUENA FE,BUENA FE,BUENA FE,BUENA FE,BUENA FE,BUENA FE,BUENA FE,BUENA FE
946,MOCACHE,MOCACHE,MOCACHE,MOCACHE,MOCACHE,MOCACHE,MOCACHE,MOCACHE,MOCACHE,MOCACHE,MOCACHE,MOCACHE
950,LAS NAVES,LAS NAVES,LAS NAVES,LAS NAVES,LAS NAVES,LAS NAVES,LAS NAVES,LAS NAVES,LAS NAVES,LAS NAVES,LAS NAVES,LAS NAVES
955,SEVILLA DE ORO,SEVILLA DE ORO,SEVILLA DE ORO,SEVILLA DE ORO,SEVILLA DE ORO,SEVILLA DE ORO,SEVILLA DE ORO,SEVILLA DE ORO,SEVILLA DE ORO,SEVILLA DE ORO,SEVILLA DE ORO,SEVILLA DE ORO
960,EL PAN,EL PAN,EL PAN,EL PAN,EL PAN,EL PAN,EL PAN,EL PAN,EL PAN,EL PAN,EL PAN,EL PAN
965,LA LIBERTAD,LA LIBERTAD,LA LIBERTAD,LA LIBERTAD,LA LIBERTAD,LA LIBERTAD,LA LIBERTAD,LA LIBERTAD,LA LIBERTAD,LA LIBERTAD,LA LIBERTAD,LA LIBERTAD
970,OLMEDO/PUCA,OLMEDO/PUCA,OLMEDO,OLMEDO,OLMEDO,OLMEDO,OLMEDO,OLMEDO,OLMEDO,OLMEDO,OLMEDO,OLMEDO
975,PUERTO LOPEZ,PUERTO LOPEZ,PUERTO LOPEZ,PUERTO LOPEZ,PUERTO LOPEZ,PUERTO LOPEZ,PUERTO LOPEZ,PUERTO LOPEZ,PUERTO LOPEZ,PUERTO LOPEZ,PUERTO LOPEZ,PUERTO LOPEZ
980,CENTINELA DEL CONDOR,CENTINELA DEL CONDOR,CENTINELA DEL CONDOR,CENTINELA DEL CONDOR,CENTINELA DEL CONDOR,CENTINELA DEL CONDOR,CENTINELA DEL CONDOR,CENTINELA DEL CONDOR,CENTINELA DEL CONDOR,CENTINELA DEL CONDOR,CENTINELA DEL CONDOR,CENTINELA DEL CONDOR
981,,PAQUISHA,PAQUISHA,PAQUISHA,PAQUISHA,PAQUISHA,PAQUISHA,PAQUISHA,PAQUISHA,PAQUISHA,PAQUISHA,PAQUISHA
982,,,,,,,LA CONCORDIA,LA CONCORDIA,LA CONCORDIA,LA CONCORDIA,LA CONCORDIA,LA CONCORDIA
985,GRAL. A. ELIZALDE,GRAL. A. ELIZALDE,GRAL. A. ELIZALDE,GRAL. A. ELIZALDE,GRAL. A. ELIZALDE,GRAL. A. ELIZALDE,GRAL. A. ELIZALDE,GRAL. A. ELIZALDE,GRAL. A. ELIZALDE,GRAL. A. ELIZALDE,GRAL. A. ELIZALDE,GRAL. A. ELIZALDE
986,ISIDRO AYORA,ISIDRO AYORA,ISIDRO AYORA,ISIDRO AYORA,ISIDRO AYORA,ISIDRO AYORA,ISIDRO AYORA,ISIDRO AYORA,ISIDRO AYORA,ISIDRO AYORA,ISIDRO AYORA,ISIDRO AYORA
990,GUACHAPALA,GUACHAPALA,GUACHAPALA,GUACHAPALA,GUACHAPALA,GUACHAPALA,GUACHAPALA,GUACHAPALA,GUACHAPALA,GUACHAPALA,GUACHAPALA,GUACHAPALA
995,SAN PEDRO DE HUACA,SAN PEDRO DE HUACA,SAN PEDRO DE HUACA,SAN PEDRO DE HUACA,SAN PEDRO DE HUACA,SAN PEDRO DE HUACA,SAN PEDRO DE HUACA,SAN PEDRO DE HUACA,SAN PEDRO DE HUACA,SAN PEDRO DE HUACA,SAN PEDRO DE HUACA,SAN PEDRO DE HUACA
998,,,,,,,,ZONA ESPECIAL ELECTORAL LAS GOLONDRINAS,ZONA ESPECIAL ELECTORAL LAS GOLONDRINAS,,,
999,,,,,,,,ZONA ESPECIAL ELECTORAL LA MANGA DEL CURA,ZONA ESPECIAL ELECTORAL LA MANGA DEL CURA,,,
