,2002,2004,2006,2007,2009,2013,2014,2017,2018,2019,2021,2023
1560,EL DORADO,EL DORADO,EL DORADO,EL DORADO,EL DORADO,EL DORADO,EL DORADO,EL DORADO,EL DORADO,EL DORADO,EL DORADO,EL DORADO
1565,INES ARANGO,INES ARANGO,INES ARANGO,INES ARANGO,INES ARANGO,INES ARANGO,INES ARANGO,INES ARANGO,INES ARANGO,INES ARANGO,INES ARANGO,INES ARANGO
1570,ARQ.SIXTO DURAN BALLEN,ARQ.SIXTO DURAN BALLEN,ARQ.SIXTO DURAN BALLEN,ARQ.SIXTO DURAN BALLEN,ARQ.SIXTO DURAN BALLEN,ARQ.SIXTO DURAN BALLEN,ARQ.SIXTO DURAN BALLEN,ARQ.SIXTO DURAN BALLEN,ARQ.SIXTO DURAN BALLEN,ARQ.SIXTO DURAN BALLEN,ARQ.SIXTO DURAN BALLEN,ARQ.SIXTO DURAN BALLEN
1575,SAN MARTIN DE PUZHIO,SAN MARTIN DE PUZHIO,SAN MARTIN DE PUZHIO,SAN MARTIN DE PUZHIO,SAN MARTIN DE PUZHIO,SAN MARTIN DE PUZHIO,SAN MARTIN DE PUZHIO,SAN MARTIN DE PUZHIO,SAN MARTIN DE PUZHIO,SAN MARTIN DE PUZHIO,SAN MARTIN DE PUZHIO,SAN MARTIN DE PUZHIO
1580,ALEJANDRO LABACA,ALEJANDRO LABACA,ALEJANDRO,ALEJANDRO,ALEJANDRO,ALEJANDRO LABAKA,,,,,,
1585,LUIS GARZA O.(DELEGSOL),LUIS GALARZA O. (DELEGSOL),LUIS GALARZA O. (DELEGSOL),LUIS GALARZA O. (DELEGSOL),LUIS GALARZA O. (DELEGSOL),LUIS GALARZA O. (DELEGSOL),LUIS GALARZA O. (DELEGSOL),LUIS GALARZA O. (DELEGSOL),LUIS GALARZA O. (DELEGSOL),LUIS GALARZA O. (DELEGSOL),LUIS GALARZA O. (DELEGSOL),LUIS GALARZA O. (DELEGSOL)
1590,EL EDEN,EL EDEN,EL EDEN,EL EDEN,EL EDEN,EL EDEN,EL EDEN,EL EDEN,EL EDEN,EL EDEN,EL EDEN,EL EDEN
1595,JUNQUILLAL,JUNQUILLAL,JUNQUILLAL,JUNQUILLAL,JUNQUILLAL,JUNQUILLAL,JUNQUILLAL,JUNQUILLAL,JUNQUILLAL,JUNQUILLAL,JUNQUILLAL,JUNQUILLAL
1600,NOVILLO,NOVILLO,NOVILLO,NOVILLO,NOVILLO,NOVILLO,NOVILLO,NOVILLO,NOVILLO,NOVILLO,NOVILLO,NOVILLO
1605,HONORATO VASQUEZ,HONORATO VASQUEZ,HONORATO VASQUEZ,HONORATO VASQUEZ,HONORATO VASQUEZ,HONORATO VASQUEZ,HONORATO VASQUEZ,HONORATO VASQUEZ,HONORATO VASQUEZ,HONORATO VASQUEZ,HONORATO VASQUEZ,HONORATO VASQUEZ
1610,HONORATO VASQUEZ,HONORATO VASQUEZ,HONORATO VASQUEZ,HONORATO VASQUEZ,HONORATO VASQUEZ,HONORATO VASQUEZ,HONORATO VASQUEZ,HONORATO VASQUEZ,HONORATO VASQUEZ,HONORATO VASQUEZ,HONORATO VASQUEZ,HONORATO VASQUEZ
1615,TONSUPA,TONSUPA,TONSUPA,TONSUPA,TONSUPA,TONSUPA,TONSUPA,TONSUPA,TONSUPA,TONSUPA,TONSUPA,TONSUPA
1620,ZAPALLO,ZAPALLO,ZAPALLO,ZAPALLO,ZAPALLO,ZAPALLO,ZAPALLO,ZAPALLO,ZAPALLO,ZAPALLO,ZAPALLO,ZAPALLO
1625,HUACHI GRANDE,HUACHI GRANDE,HUACHI GRANDE,HUACHI GRANDE,HUACHI GRANDE,HUACHI GRANDE,HUACHI GRANDE,HUACHI GRANDE,HUACHI GRANDE,HUACHI GRANDE,HUACHI GRANDE,HUACHI GRANDE
1630,HUAMBALO,HUAMBALO,HUAMBALO,HUAMBALO,HUAMBALO,HUAMBALO,HUAMBALO,HUAMBALO,HUAMBALO,HUAMBALO,HUAMBALO,HUAMBALO
1635,HUAMBI,HUAMBI,HUAMBI,HUAMBI,HUAMBI,HUAMBI,HUAMBI,HUAMBI,HUAMBI,HUAMBI,HUAMBI,HUAMBI
1640,EL ROSARIO,EL ROSARIO,EL ROSARIO,EL ROSARIO,EL ROSARIO,EL ROSARIO,EL ROSARIO,EL ROSARIO,EL ROSARIO,EL ROSARIO,EL ROSARIO,EL ROSARIO
1645,EL AIRO,EL AIRO,EL AIRO,EL AIRO,EL AIRO,EL AIRO,EL AIRO,EL AIRO,EL AIRO,EL AIRO,EL AIRO,EL AIRO
1650,SAN VICENTE,SAN VICENTE,SAN VICENTE,SAN VICENTE,SAN VICENTE,SAN VICENTE,SAN VICENTE,SAN VICENTE,SAN VICENTE,SAN VICENTE,SAN VICENTE,SAN VICENTE
1655,HUERTAS,HUERTAS,HUERTAS,HUERTAS,HUERTAS,HUERTAS,HUERTAS,HUERTAS,HUERTAS,HUERTAS,HUERTAS,HUERTAS
1660,HUIGRA,HUIGRA,HUIGRA,HUIGRA,HUIGRA,HUIGRA,HUIGRA,HUIGRA,HUIGRA,HUIGRA,HUIGRA,HUIGRA
1665,BELLAMARIA,BELLAMARIA,BELLAMARIA,BELLAMARIA,BELLAMARIA,BELLAMARIA,BELLAMARIA,BELLAMARIA,BELLAMARIA,BELLAMARIA,BELLAMARIA,BELLAMARIA
1670,SABANILLA,SABANILLA,SABANILLA,SABANILLA,SABANILLA,SABANILLA,SABANILLA,SABANILLA,SABANILLA,SABANILLA,SABANILLA,SABANILLA
1675,ZURMI,ZURMI,ZURMI,ZURMI,ZURMI,ZURMI,ZURMI,ZURMI,ZURMI,ZURMI,ZURMI,ZURMI
1680,SAN JOSE DE DAHUANO,SAN JOSE DE DAHUANO,SAN JOSE DE DAHUANO,SAN JOSE DE DAHUANO,SAN JOSE DE DAHUANO,SAN JOSE DE DAHUANO,SAN JOSE DE DAHUANO,SAN JOSE DE DAHUANO,SAN JOSE DE DAHUANO,SAN JOSE DE DAHUANO,SAN JOSE DE DAHUANO,SAN JOSE DE DAHUANO
1685,16 DE AGOSTO,16 DE AGOSTO,16 DE AGOSTO,16 DE AGOSTO,16 DE AGOSTO,16 DE AGOSTO,16 DE AGOSTO,16 DE AGOSTO,16 DE AGOSTO,16 DE AGOSTO,16 DE AGOSTO,16 DE AGOSTO
1690,SAN RAFAEL DE SHARUG,SAN RAFAEL DE SHARUG,SAN RAFAEL DE SHARUG,SAN RAFAEL DE SHARUG,SAN RAFAEL DE SHARUG,SAN RAFAEL DE SHARUG,SAN RAFAEL DE SHARUG,SAN RAFAEL DE SHARUG,SAN RAFAEL DE SHARUG,SAN RAFAEL DE SHARUG,SAN RAFAEL DE SHARUG,SAN RAFAEL DE SHARUG
1695,CARCABON,CARCABON,CARCABON,CARCABON,CARCABON,CARCABON,CARCABON,CARCABON,CARCABON,CARCABON,CARCABON,CARCABON
1700,SINSAO,SINSAO,SINSAO,SINSAO,SINSAO,SINSAO,SINSAO,SINSAO,SINSAO,SINSAO,SINSAO,SINSAO
1705,ILAPO,ILAPO,ILAPO,ILAPO,ILAPO,ILAPO,ILAPO,ILAPO,ILAPO,ILAPO,ILAPO,ILAPO
1710,IMANTAG,IMANTAG,IMANTAG,IMANTAG,IMANTAG,IMANTAG,IMANTAG,IMANTAG,IMANTAG,IMANTAG,IMANTAG,IMANTAG
1715,IMBAYA,IMBAYA,IMBAYA,IMBAYA,IMBAYA,IMBAYA,IMBAYA,IMBAYA,IMBAYA,IMBAYA,IMBAYA,IMBAYA
1720,INDANZA,INDANZA,INDANZA,INDANZA,INDANZA,INDANZA,INDANZA,INDANZA,INDANZA,INDANZA,INDANZA,INDANZA
1725,INGAPIRCA,INGAPIRCA,INGAPIRCA,INGAPIRCA,INGAPIRCA,INGAPIRCA,INGAPIRCA,INGAPIRCA,INGAPIRCA,INGAPIRCA,INGAPIRCA,INGAPIRCA
1730,RIO BLANCO,RIO BLANCO,RIO BLANCO,RIO BLANCO,RIO BLANCO,RIO BLANCO,RIO BLANCO,RIO BLANCO,RIO BLANCO,RIO BLANCO,RIO BLANCO,RIO BLANCO
1735,ISINLIVI,ISINLIVI,ISINLIVI,ISINLIVI,ISINLIVI,ISINLIVI,ISINLIVI,ISINLIVI,ISINLIVI,ISINLIVI,ISINLIVI,ISINLIVI
1740,ISLA DE BEJUCAL,ISLA DE BEJUCAL,ISLA DE BEJUCAL,ISLA DE BEJUCAL,ISLA DE BEJUCAL,ISLA DE BEJUCAL,ISLA DE BEJUCAL,ISLA DE BEJUCAL,ISLA DE BEJUCAL,ISLA DE BEJUCAL,ISLA DE BEJUCAL,ISLA DE BEJUCAL
1745,IZAMBA,IZAMBA,IZAMBA,IZAMBA,IZAMBA,IZAMBA,IZAMBA,IZAMBA,IZAMBA,IZAMBA,IZAMBA,IZAMBA
1750,SALVIAS,SALVIAS,SALVIAS,SALVIAS,SALVIAS,SALVIAS,SALVIAS,SALVIAS,SALVIAS,SALVIAS,SALVIAS,SALVIAS
1755,LUZ DE AMERICA,LUZ DE AMERICA,LUZ DE AMERICA,LUZ DE AMERICA,LUZ DE AMERICA,LUZ DE AMERICA,LUZ DE AMERICA,LUZ DE AMERICA,LUZ DE AMERICA,LUZ DE AMERICA,LUZ DE AMERICA,LUZ DE AMERICA
1760,LUIS CORDERO VEGA,LUIS CORDERO VEGA,LUIS CORDERO VEGA,LUIS CORDERO VEGA,LUIS CORDERO VEGA,LUIS CORDERO VEGA,LUIS CORDERO VEGA,LUIS CORDERO VEGA,LUIS CORDERO VEGA,LUIS CORDERO VEGA,LUIS CORDERO VEGA,LUIS CORDERO VEGA
1765,SANTA MARTHA DE CUBA,SANTA MARTHA DE CUBA,SANTA MARTHA DE CUBA,SANTA MARTHA DE CUBA,SANTA MARTHA DE CUBA,SANTA MARTHA DE CUBA,SANTA MARTHA DE CUBA,SANTA MARTHA DE CUBA,SANTA MARTHA DE CUBA,SANTA MARTHA DE CUBA,SANTA MARTHA DE CUBA,SANTA MARTHA DE CUBA
1770,SAN CARLOS DE LAS MINAS,SAN CARLOS DE LAS MINAS,SAN CARLOS DE LAS MINAS,SAN CARLOS DE LAS MINAS,SAN CARLOS DE LAS MINAS,SAN CARLOS DE LAS MINAS,SAN CARLOS DE LAS MINAS,SAN CARLOS DE LAS MINAS,SAN CARLOS DE LAS MINAS,SAN CARLOS DE LAS MINAS,SAN CARLOS DE LAS MINAS,SAN CARLOS DE LAS MINAS
1775,VENTURA,VENTURA,VENTURA,VENTURA,VENTURA,VENTURA,VENTURA,VENTURA,VENTURA,VENTURA,VENTURA,VENTURA
1780,QUINARA,QUINARA,QUINARA,QUINARA,QUINARA,QUINARA,QUINARA,QUINARA,QUINARA,QUINARA,QUINARA,QUINARA
1785,SANTIAGO DE PANANZA,SANTIAGO DE PANANZA,SANTIAGO DE PANANZA,SANTIAGO DE PANANZA,SANTIAGO DE PANANZA,SANTIAGO DE PANANZA,SANTIAGO DE PANANZA,SANTIAGO DE PANANZA,SANTIAGO DE PANANZA,SANTIAGO DE PANANZA,SANTIAGO DE PANANZA,SANTIAGO DE PANANZA
1790,SANTA CECILIA,SANTA CECILIA,SANTA CECILIA,SANTA CECILIA,SANTA CECILIA,SANTA CECILIA,SANTA CECILIA,SANTA CECILIA,SANTA CECILIA,SANTA CECILIA,SANTA CECILIA,SANTA CECILIA
1795,JAMBELI,JAMBELI,JAMBELI,JAMBELI,JAMBELI,JAMBELI,JAMBELI,JAMBELI,JAMBELI,JAMBELI,JAMBELI,JAMBELI
1800,SANTA MARIANITA,SANTA MARIANITA,SANTA MARIANITA,SANTA MARIANITA,SANTA MARIANITA,SANTA MARIANITA,SANTA MARIANITA,SANTA MARIANITA,SANTA MARIANITA,SANTA MARIANITA,SANTA MARIANITA,SANTA MARIANITA
1805,JADAN,JADAN,JADAN,JADAN,JADAN,JADAN,JADAN,JADAN,JADAN,JADAN,JADAN,JADAN
1810,GARCIA MORENO,GARCIA MORENO,GARCIA MORENO,GARCIA MORENO,GARCIA MORENO,GARCIA MORENO,GARCIA MORENO,GARCIA MORENO,GARCIA MORENO,GARCIA MORENO,GARCIA MORENO,GARCIA MORENO
1815,JAMBELI/TEMBLEQUE,JAMBELI/TEMBLEQUE,JAMBELI,JAMBELI,JAMBELI,JAMBELI,JAMBELI,JAMBELI,JAMBELI,JAMBELI,JAMBELI,JAMBELI
1820,LA BELLEZA,LA BELLEZA,LA BELLEZA,LA BELLEZA,LA BELLEZA,LA BELLEZA,LA BELLEZA,LA BELLEZA,LA BELLEZA,LA BELLEZA,LA BELLEZA,LA BELLEZA
1825,JAVIER LOYOLA/CHUQ,JAVIER LOYOLA/CHUQ,JAVIER LOYOLA / CHUQUIPATA,JAVIER LOYOLA / CHUQUIPATA,JAVIER LOYOLA / CHUQUIPATA,JAVIER LOYOLA / CHUQUIPATA,JAVIER LOYOLA / CHUQUIPATA,JAVIER LOYOLA / CHUQUIPATA,JAVIER LOYOLA / CHUQUIPATA,JAVIER LOYOLA / CHUQUIPATA,JAVIER LOYOLA / CHUQUIPATA,JAVIER LOYOLA / CHUQUIPATA
1830,JESUS MARIA,JESUS MARIA,JESUS MARIA,JESUS MARIA,JESUS MARIA,JESUS MARIA,JESUS MARIA,JESUS MARIA,JESUS MARIA,JESUS MARIA,JESUS MARIA,JESUS MARIA
1835,JIJON Y CAAMANO,JIJON Y CAAMANO,JIJON Y CAAMANO,JIJON Y CAAMANO,JIJON Y CAAMANO,JIJON Y CAAMANO,JIJON Y CAAMANO,JIJON Y CAAMANO,JIJON Y CAAMANO,JIJON Y CAAMANO,JIJON Y CAAMANO,JIJON Y CAAMANO
1840,JIMBILLA,JIMBILLA,JIMBILLA,JIMBILLA,JIMBILLA,JIMBILLA,JIMBILLA,JIMBILLA,JIMBILLA,JIMBILLA,JIMBILLA,JIMBILLA
1845,JIMBURA,JIMBURA,JIMBURA,JIMBURA,JIMBURA,JIMBURA,JIMBURA,JIMBURA,JIMBURA,JIMBURA,JIMBURA,JIMBURA
1850,JOSE LUIS TAMAYO,JOSE LUIS TAMAYO,JOSE LUIS TAMAYO / MUEY,JOSE LUIS TAMAYO / MUEY,JOSE LUIS TAMAYO / MUEY,JOSE LUIS TAMAYO / MUEY,JOSE LUIS TAMAYO / MUEY,JOSE LUIS TAMAYO / MUEY,JOSE LUIS TAMAYO / MUEY,JOSE LUIS TAMAYO / MUEY,JOSE LUIS TAMAYO / MUEY,JOSE LUIS TAMAYO / MUEY
1855,JUAN BAUTISTA AGUI,JUAN BAUTISTA AGUI,JUAN BAUTISTA AGUIRRE,JUAN BAUTISTA AGUIRRE,JUAN BAUTISTA AGUIRRE,JUAN BAUTISTA AGUIRRE,JUAN BAUTISTA AGUIRRE,JUAN BAUTISTA AGUIRRE,JUAN BAUTISTA AGUIRRE,JUAN BAUTISTA AGUIRRE,JUAN BAUTISTA AGUIRRE,JUAN BAUTISTA AGUIRRE
1860,JUAN BENIGNO VELA,JUAN BENIGNO VELA,JUAN BENIGNO VELA,JUAN BENIGNO VELA,JUAN BENIGNO VELA,JUAN BENIGNO VELA,JUAN BENIGNO VELA,JUAN BENIGNO VELA,JUAN BENIGNO VELA,JUAN BENIGNO VELA,JUAN BENIGNO VELA,JUAN BENIGNO VELA
1865,JUAN DE VELASCO/PO,JUAN DE VELASCO/PO,JUAN DE VELASCO / PONGOR,JUAN DE VELASCO / PONGOR,JUAN DE VELASCO / PONGOR,JUAN DE VELASCO / PONGOR,JUAN DE VELASCO / PONGOR,JUAN DE VELASCO / PONGOR,JUAN DE VELASCO / PONGOR,JUAN DE VELASCO / PONGOR,JUAN DE VELASCO / PONGOR,JUAN DE VELASCO / PONGOR
1870,JUAN GOMEZ RENDON,JUAN GOMEZ RENDON,JUAN GOMEZ RENDON,JUAN GOMEZ RENDON,JUAN GOMEZ RENDON,JUAN GOMEZ RENDON,JUAN GOMEZ RENDON,JUAN GOMEZ RENDON,JUAN GOMEZ RENDON,JUAN GOMEZ RENDON,JUAN GOMEZ RENDON,JUAN GOMEZ RENDON
1875,JUAN MONTALVO,JUAN MONTALVO,JUAN MONTALVO,JUAN MONTALVO,JUAN MONTALVO,JUAN MONTALVO,JUAN MONTALVO,JUAN MONTALVO,JUAN MONTALVO,JUAN MONTALVO,JUAN MONTALVO,JUAN MONTALVO
1880,JULCUY,JULCUY,JULCUY,JULCUY,JULCUY,JULCUY,JULCUY,JULCUY,JULCUY,JULCUY,JULCUY,JULCUY
1885,JULIO ANDRADE,JULIO ANDRADE,JULIO ANDRADE,JULIO ANDRADE,JULIO ANDRADE,JULIO ANDRADE,JULIO ANDRADE,JULIO ANDRADE,JULIO ANDRADE,JULIO ANDRADE,JULIO ANDRADE,JULIO ANDRADE
1890,JULIO E MORENO,JULIO E MORENO,JULIO E MORENO,JULIO E MORENO,JULIO E MORENO,JULIO E MORENO,JULIO E MORENO,JULIO E MORENO,JULIO E MORENO,JULIO E MORENO,JULIO E MORENO,JULIO E MORENO
1895,DUCUR,DUCUR,DUCUR,DUCUR,DUCUR,DUCUR,DUCUR,DUCUR,DUCUR,DUCUR,DUCUR,DUCUR
1900,JUNCAL,JUNCAL,JUNCAL,JUNCAL,JUNCAL,JUNCAL,JUNCAL,JUNCAL,JUNCAL,JUNCAL,JUNCAL,JUNCAL
1905,JOSEGUANGO BAJO,JOSEGUANGO BAJO,JOSEGUANGO BAJO,JOSEGUANGO BAJO,JOSEGUANGO BAJO,JOSEGUANGO BAJO,JOSEGUANGO BAJO,JOSEGUANGO BAJO,JOSEGUANGO BAJO,JOSEGUANGO BAJO,JOSEGUANGO BAJO,JOSEGUANGO BAJO
1910,EL IDEAL,EL IDEAL,EL IDEAL,EL IDEAL,EL IDEAL,EL IDEAL,EL IDEAL,EL IDEAL,EL IDEAL,EL IDEAL,EL IDEAL,EL IDEAL
1915,VIRGEN DE FATIMA,VIRGEN DE FATIMA,VIRGEN DE FATIMA,VIRGEN DE FATIMA,VIRGEN DE FATIMA,VIRGEN DE FATIMA,VIRGEN DE FATIMA,VIRGEN DE FATIMA,VIRGEN DE FATIMA,VIRGEN DE FATIMA,VIRGEN DE FATIMA,VIRGEN DE FATIMA
1920,SALANGO,SALANGO,SALANGO,SALANGO,SALANGO,SALANGO,SALANGO,SALANGO,SALANGO,SALANGO,SALANGO,SALANGO
1925,CHIRIJOS,CHIRIJOS,CHIRIJOS,CHIRIJOS,CHIRIJOS,CHIRIJOS,CHIRIJOS,CHIRIJOS,CHIRIJOS,CHIRIJOS,CHIRIJOS,CHIRIJOS
1930,TALAG,TALAG,TALAG,TALAG,TALAG,TALAG,TALAG,TALAG,TALAG,TALAG,TALAG,TALAG
1935,SAN LUIS DE ARMENIA,SAN LUIS DE ARMENIA,SAN LUIS DE ARMENIA,SAN LUIS DE ARMENIA,SAN LUIS DE ARMENIA,SAN LUIS DE ARMENIA,SAN LUIS DE ARMENIA,SAN LUIS DE ARMENIA,SAN LUIS DE ARMENIA,SAN LUIS DE ARMENIA,SAN LUIS DE ARMENIA,SAN LUIS DE ARMENIA
1940,NUEVO PARAISO,NUEVO PARAISO,NUEVO PARAISO,NUEVO PARAISO,NUEVO PARAISO,NUEVO PARAISO,NUEVO PARAISO,NUEVO PARAISO,NUEVO PARAISO,NUEVO PARAISO,NUEVO PARAISO,NUEVO PARAISO
1945,SAN JOSE DE GUAYUSA,SAN JOSE DE GUAYUSA,SAN JOSE DE GUAYUSA,SAN JOSE DE GUAYUSA,SAN JOSE DE GUAYUSA,SAN JOSE DE GUAYUSA,SAN JOSE DE GUAYUSA,SAN JOSE DE GUAYUSA,SAN JOSE DE GUAYUSA,SAN JOSE DE GUAYUSA,SAN JOSE DE GUAYUSA,SAN JOSE DE GUAYUSA
1950,RUMIPAMBA,RUMIPAMBA,RUMIPAMBA,RUMIPAMBA,RUMIPAMBA,RUMIPAMBA,RUMIPAMBA,RUMIPAMBA,RUMIPAMBA,RUMIPAMBA,RUMIPAMBA,RUMIPAMBA
1955,TRES DE NOVIEMBRE,TRES DE NOVIEMBRE,TRES DE NOVIEMBRE,TRES DE NOVIEMBRE,TRES DE NOVIEMBRE,TRES DE NOVIEMBRE,TRES DE NOVIEMBRE,TRES DE NOVIEMBRE,TRES DE NOVIEMBRE,TRES DE NOVIEMBRE,TRES DE NOVIEMBRE,TRES DE NOVIEMBRE
1960,LAGO SAN PEDRO,LAGO SAN PEDRO,LAGO SAN PEDRO,LAGO SAN PEDRO,LAGO SAN PEDRO,LAGO SAN PEDRO,LAGO SAN PEDRO,LAGO SAN PEDRO,LAGO SAN PEDRO,LAGO SAN PEDRO,LAGO SAN PEDRO,LAGO SAN PEDRO
1965,UNION MILAGRENA,UNION MILAGRENA,UNION MILAGRENA,UNION MILAGRENA,UNION MILAGRENA,UNION MILAGRENA,UNION MILAGRENA,UNION MILAGRENA,UNION MILAGRENA,UNION MILAGRENA,UNION MILAGRENA,UNION MILAGRENA
1970,SAN JACINTO DEL BUA,SAN JACINTO DEL BUA,SAN JACINTO DEL BUA,SAN JACINTO DEL BUA,SAN JACINTO DEL BUA,SAN JACINTO DEL BUA,SAN JACINTO DEL BUA,SAN JACINTO DEL BUA,SAN JACINTO DEL BUA,SAN JACINTO DEL BUA,SAN JACINTO DEL BUA,SAN JACINTO DEL BUA
1975,BELLAMARIA,BELLAMARIA,BELLAMARIA,BELLAMARIA,BELLAMARIA,BELLAMARIA,BELLAMARIA,BELLAMARIA,BELLAMARIA,BELLAMARIA,BELLAMARIA,BELLAMARIA
1980,SAN PEDRO DE SUMA,SAN PEDRO DE SUMA,SAN PEDRO DE SUMA,SAN PEDRO DE SUMA,SAN PEDRO DE SUMA,SAN PEDRO DE SUMA,SAN PEDRO DE SUMA,SAN PEDRO DE SUMA,SAN PEDRO DE SUMA,SAN PEDRO DE SUMA,SAN PEDRO DE SUMA,SAN PEDRO DE SUMA
1985,SANTA ROSA,SANTA ROSA,SANTA ROSA,SANTA ROSA,SANTA ROSA,SANTA ROSA,SANTA ROSA,SANTA ROSA,SANTA ROSA,SANTA ROSA,SANTA ROSA,SANTA ROSA
1990,PAQUISHA,EL ESFUERZO,EL ESFUERZO,EL ESFUERZO,EL ESFUERZO,EL ESFUERZO,EL ESFUERZO,EL ESFUERZO,EL ESFUERZO,EL ESFUERZO,EL ESFUERZO,EL ESFUERZO
1995,LABACA,,LABACA,LABACA,LABACA,LABACA,ALEJANDRO LABAKA,ALEJANDRO LABAKA,ALEJANDRO LABAKA,ALEJANDRO LABAKA,ALEJANDRO LABAKA,ALEJANDRO LABAKA
2000,,,BOLASPAMBA,BOLASPAMBA,BOLASPAMBA,BOLASPAMBA,BOLASPAMBA,BOLASPAMBA,BOLASPAMBA,BOLASPAMBA,BOLASPAMBA,BOLASPAMBA
2005,LA AVANZADA,LA AVANZADA,LA AVANZADA,LA AVANZADA,LA AVANZADA,LA AVANZADA,LA AVANZADA,LA AVANZADA,LA AVANZADA,LA AVANZADA,LA AVANZADA,LA AVANZADA
2010,LA CONCEPCION,LA CONCEPCION,LA CONCEPCION,LA CONCEPCION,LA CONCEPCION,LA CONCEPCION,LA CONCEPCION,LA CONCEPCION,LA CONCEPCION,LA CONCEPCION,LA CONCEPCION,LA CONCEPCION
2015,LA CHONTA,LA CHONTA,LA CHONTA,LA CHONTA,LA CHONTA,LA CHONTA,LA CHONTA,LA CHONTA,LA CHONTA,LA CHONTA,LA CHONTA,LA CHONTA
2020,LA ESPERANZA,LA ESPERANZA,LA ESPERANZA,LA ESPERANZA,LA ESPERANZA,LA ESPERANZA,LA ESPERANZA,LA ESPERANZA,LA ESPERANZA,LA ESPERANZA,LA ESPERANZA,LA ESPERANZA
2025,LA ESPERANZA,LA ESPERANZA,LA ESPERANZA,LA ESPERANZA,LA ESPERANZA,LA ESPERANZA,LA ESPERANZA,LA ESPERANZA,LA ESPERANZA,LA ESPERANZA,LA ESPERANZA,LA ESPERANZA
2030,ANGEL PEDRO GILER,ANGEL PEDRO GILER,ANGEL PEDRO GILER,ANGEL PEDRO GILER,ANGEL PEDRO GILER,ANGEL PEDRO GILER,ANGEL PEDRO GILER,ANGEL PEDRO GILER,ANGEL PEDRO GILER,ANGEL PEDRO GILER,ANGEL PEDRO GILER,ANGEL PEDRO GILER
2035,LAGARTO,LAGARTO,LAGARTO,LAGARTO,LAGARTO,LAGARTO,LAGARTO,LAGARTO,LAGARTO,LAGARTO,LAGARTO,LAGARTO
2040,LA LIBERTAD,LA LIBERTAD,LA LIBERTAD,LA LIBERTAD,LA LIBERTAD,LA LIBERTAD,LA LIBERTAD,LA LIBERTAD,LA LIBERTAD,LA LIBERTAD,LA LIBERTAD,LA LIBERTAD
2045,,SANTA MARIA DEL TOACHI,SANTA MARIA DEL TOACHI,SANTA MARIA DEL TOACHI,SANTA MARIA DEL TOACHI,SANTA MARIA DEL TOACHI,SANTA MARIA DEL TOACHI,SANTA MARIA DEL TOACHI,SANTA MARIA DEL TOACHI,SANTA MARIA DEL TOACHI,SANTA MARIA DEL TOACHI,SANTA MARIA DEL TOACHI
2050,,RIO BONITO,RIO BONITO,RIO BONITO,RIO BONITO,RIO BONITO,RIO BONITO,RIO BONITO,RIO BONITO,RIO BONITO,RIO BONITO,RIO BONITO
2055,LA MERCED,LA MERCED,LA MERCED,LA MERCED,LA MERCED,LA MERCED,LA MERCED,LA MERCED,LA MERCED,LA MERCED,LA MERCED,LA MERCED
2060,LA MERCED DE BUENO,LA MERCED DE BUENO,LA MERCED DE BUENOS AIRES,LA MERCED DE BUENOS AIRES,LA MERCED DE BUENOS AIRES,LA MERCED DE BUENOS AIRES,LA MERCED DE BUENOS AIRES,LA MERCED DE BUENOS AIRES,LA MERCED DE BUENOS AIRES,LA MERCED DE BUENOS AIRES,LA MERCED DE BUENOS AIRES,LA MERCED DE BUENOS AIRES
2065,LA PAZ,LA PAZ,LA PAZ,LA PAZ,LA PAZ,LA PAZ,LA PAZ,LA PAZ,LA PAZ,LA PAZ,LA PAZ,LA PAZ
2070,LA PAZ,LA PAZ,LA PAZ,LA PAZ,LA PAZ,LA PAZ,LA PAZ,LA PAZ,LA PAZ,LA PAZ,LA PAZ,LA PAZ
2075,LA PEANA,LA PEANA,LA PEANA,LA PEANA,LA PEANA,LA PEANA,LA PEANA,LA PEANA,LA PEANA,LA PEANA,LA PEANA,LA PEANA
2080,LA PROVIDENCIA,LA PROVIDENCIA,LA PROVIDENCIA,LA PROVIDENCIA,LA PROVIDENCIA,LA PROVIDENCIA,LA PROVIDENCIA,LA PROVIDENCIA,LA PROVIDENCIA,LA PROVIDENCIA,LA PROVIDENCIA,LA PROVIDENCIA
2085,LA RAMA,LA RAMA,LA RAMA,LA RAMA,LA RAMA,LA RAMA,LA RAMA,LA RAMA,LA RAMA,LA RAMA,LA RAMA,LA RAMA
2090,LASCANO,LASCANO,LASCANO,LASCANO,LASCANO,LASCANO,LASCANO,LASCANO,LASCANO,LASCANO,LASCANO,LASCANO
2095,LA SOFIA,LA SOFIA,LA SOFIA,LA SOFIA,LA SOFIA,LA SOFIA,LA SOFIA,LA SOFIA,LA SOFIA,LA SOFIA,LA SOFIA,LA SOFIA
2100,,SAN JOSE,SAN JOSE,SAN JOSE,SAN JOSE,SAN JOSE,SAN JOSE,SAN JOSE,SAN JOSE,SAN JOSE,SAN JOSE,SAN JOSE
2105,LAS LOJAS,LAS LOJAS,LAS LOJAS,LAS LOJAS,LAS LOJAS,LAS LOJAS,LAS LOJAS,LAS LOJAS,LAS LOJAS,LAS LOJAS,LAS LOJAS,LAS LOJAS
2110,,,SAN ANDRES,SAN ANDRES,SAN ANDRES,SAN ANDRES,SAN ANDRES,SAN ANDRES,SAN ANDRES,SAN ANDRES,SAN ANDRES,SAN ANDRES
